title,slug,sourceUrl,reason,author,publishedAt
"What are Carbohydrates?",carbohydrate-facts,https://journeylite.com/carbohydrate-facts/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2025-02-13T17:15:46+00:00
"Thiamine",thiamine,https://journeylite.com/thiamine/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2025-02-06T16:27:48+00:00
"Protein",protein,https://journeylite.com/protein/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2025-01-16T14:38:11+00:00
"Copper",copper,https://journeylite.com/copper/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2025-01-14T21:09:44+00:00
"Zinc",zinc,https://journeylite.com/zinc/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2025-01-14T17:11:54+00:00
"2025 Weight Loss Specials!",2025-weight-loss-specials,https://journeylite.com/2025-weight-loss-specials/,"Contains medical/medication content — medical review recommended; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2025-01-02T15:54:05+00:00
"Vitamins after weight loss surgery: 90 days and beyond",vitamins-after-weight-loss-surgery-90-days-and-beyond,https://journeylite.com/vitamins-after-weight-loss-surgery-90-days-and-beyond/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2024-08-30T15:28:29+00:00
"eStore Product Allergens",allergens,https://journeylite.com/allergens/,"Body is short (27 words) — review content; Warning: Featured image has no alt text","DrCurry",2024-02-23T14:57:45+00:00
"New semaglutide/GLP-1 pricing!",new-semaglutide-glp-1-pricing,https://journeylite.com/new-semaglutide-glp-1-pricing/,"Contains medical/medication content — medical review recommended; Warning: Featured image has no alt text","DrCurry",2024-02-16T16:08:26+00:00
"Gastric Sleeve Pros and Cons Discussed by a Weight Loss Surgeon",gastric-sleeve-pros-and-cons-you-need-to-know,https://journeylite.com/gastric-sleeve-pros-and-cons-you-need-to-know/,"Contains medical/medication content — medical review recommended; Contains before/after references — check images for sensitive content; Warning: Featured image has no alt text","DrCurry",2024-02-07T22:37:57+00:00
"Zepbound is available now!",zepbound-now-prescribing-at-journeylite,https://journeylite.com/zepbound-now-prescribing-at-journeylite/,"Contains medical/medication content — medical review recommended; Warning: Featured image has no alt text","DrCurry",2023-12-14T19:25:44+00:00
"Self-Pay Gastric Sleeve Surgery for $10,000 at JourneyLite",self-pay-gastric-sleeve-only-10000,https://journeylite.com/self-pay-gastric-sleeve-only-10000/,"Contains medical/medication content — medical review recommended; Contains before/after references — check images for sensitive content; Warning: Featured image has no alt text","DrCurry",2023-10-31T17:18:15+00:00
"Support Group: Wednesday, 9/27/2023",support-group-wednesday-9-27-2023,https://journeylite.com/support-group-wednesday-9-27-2023/,"Body is short (68 words) — review content; Warning: Featured image has no alt text","DrCurry",2023-09-25T16:40:18+00:00
"Got a brand new shiny Spatz or Orbera gastric balloon? Here’s what to watch out for during the first week!",what-to-do-after-your-gastric-balloon,https://journeylite.com/what-to-do-after-your-gastric-balloon/,"Warning: Featured image has no alt text","DrCurry",2023-09-06T19:36:22+00:00
"JourneyLite Accepts Most Insurance Plans For Weight Loss Surgery",journeylite-accepts-most-insurance-plans-for-weight-loss-surgery,https://journeylite.com/journeylite-accepts-most-insurance-plans-for-weight-loss-surgery/,"Contains medical/medication content — medical review recommended; Warning: Featured image has no alt text","DrCurry",2023-09-05T15:22:01+00:00
"Vitamin C",vitamin-c-food-sources,https://journeylite.com/vitamin-c-food-sources/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2023-08-30T17:59:18+00:00
"JourneyLite Virtual Support Group: 8/29/2023 12:30pm",journeylite-virtual-support-group-8-29-2023-1230pm,https://journeylite.com/journeylite-virtual-support-group-8-29-2023-1230pm/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2023-08-25T19:01:58+00:00
"Gastric Sleeve Cost (And More) Explained By A Weight Loss Surgeon",gastric-sleeve-cost-explained,https://journeylite.com/gastric-sleeve-cost-explained/,"Contains medical/medication content — medical review recommended; Contains before/after references — check images for sensitive content; Warning: Featured image has no alt text","DrCurry",2023-10-23T17:22:58+00:00
"Do I have coverage for weight loss surgery?",do-i-have-coverage-for-weight-loss-surgery,https://journeylite.com/do-i-have-coverage-for-weight-loss-surgery/,"Body is short (91 words) — review content; Contains medical/medication content — medical review recommended; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2023-08-16T15:58:07+00:00
"JourneyLite is your trusted team for weight loss surgery in Ohio, Kentucky, and Indiana!",journeylite-the-trusted-team-for-weight-loss-surgery,https://journeylite.com/journeylite-the-trusted-team-for-weight-loss-surgery/,"Warning: No tags; Warning: Featured image has no alt text","DrCurry",2023-08-10T13:18:33+00:00
"Medical Weight Loss Consultation: $199",medical-weight-loss-consultation-175,https://journeylite.com/medical-weight-loss-consultation-175/,"Contains medical/medication content — medical review recommended; Warning: Featured image has no alt text","DrCurry",2023-06-16T16:27:24+00:00
"Michael’s Story: “I finally changed my mind—and my life.”",journeylite-featured-patient-of-the-month-july-2023-teresa-t,https://journeylite.com/journeylite-featured-patient-of-the-month-july-2023-teresa-t/,"Meta description missing — excerpt used as suggestion; Contains medical/medication content — medical review recommended; Contains before/after references — check images for sensitive content; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2023-07-20T13:23:03+00:00
"New 2023 Ohio Rules for Weight Loss Medications",new-2023-ohio-rules-for-weight-loss-medications,https://journeylite.com/new-2023-ohio-rules-for-weight-loss-medications/,"Meta description missing — excerpt used as suggestion; Contains medical/medication content — medical review recommended; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2023-03-07T15:11:47+00:00
"Office Follow-up Schedule After Weight Loss Surgery",office-follow-up-schedule-after-weight-loss-surgery,https://journeylite.com/office-follow-up-schedule-after-weight-loss-surgery/,"Meta description missing — excerpt used as suggestion; Body is short (127 words) — review content; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2023-01-17T14:03:38+00:00
"JourneyLite and Transcarent, Inc Partner to Provide Lower Cost Weight Loss Surgery",journeylite-and-transcarent-inc-partner-to-provide-lower-cost-weight-loss-surgery,https://journeylite.com/journeylite-and-transcarent-inc-partner-to-provide-lower-cost-weight-loss-surgery/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2022-09-13T14:50:15+00:00
"Crushing Medications After Weight Loss Surgery-Should I or Shouldn't I?",crushing-medications-after-weight-loss-surgery,https://journeylite.com/crushing-medications-after-weight-loss-surgery/,"Warning: Featured image has no alt text","DrCurry",2022-07-06T18:12:48+00:00
"Incisional Pain After Gastric Bypass Surgery",incisional-pain-after-gastric-bypass-surgery,https://journeylite.com/incisional-pain-after-gastric-bypass-surgery/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2022-03-29T16:47:30+00:00
"Low-Impact Exercise For Overweight Patients",low-impact-exercise-for-overweight-patients,https://journeylite.com/low-impact-exercise-for-overweight-patients/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2022-03-25T13:30:52+00:00
"Breaking A Plateau After Weight Loss Surgery",breaking-a-plateau-after-weight-loss-surgery,https://journeylite.com/breaking-a-plateau-after-weight-loss-surgery/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2022-03-23T14:39:08+00:00
"Diabetes, weight loss surgery, and SGLT2 inhibitors",diabetes-weight-loss-surgery-and-sglt2-inhibitors,https://journeylite.com/diabetes-weight-loss-surgery-and-sglt2-inhibitors/,"Contains medical/medication content — medical review recommended; Contains before/after references — check images for sensitive content; Warning: Featured image has no alt text","DrCurry",2022-02-25T15:08:30+00:00
"Negative Sleep Apnea Test",negative-sleep-apnea-test,https://journeylite.com/negative-sleep-apnea-test/,"Meta description missing — excerpt used as suggestion; Body is short (107 words) — review content; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2021-12-10T15:08:23+00:00
"Moderate-to-Severe Sleep Apnea",moderate-to-severe-sleep-apnea,https://journeylite.com/moderate-to-severe-sleep-apnea/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2021-12-10T14:39:52+00:00
"Plenity Dosing For Surgical Weight Loss Patients",plenity-dosing-for-surgical-weight-loss-patients,https://journeylite.com/plenity-dosing-for-surgical-weight-loss-patients/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2021-10-13T15:05:18+00:00
"Weight Loss Surgery And Hair Loss",weight-loss-surgery-and-hair-loss,https://journeylite.com/weight-loss-surgery-and-hair-loss/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2021-10-14T14:17:49+00:00
"Importance of Post-op Labs!",importance-of-post-op-labs,https://journeylite.com/importance-of-post-op-labs/,"Meta description missing — excerpt used as suggestion; Body is short (103 words) — review content; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2021-10-07T16:10:26+00:00
"Mild Sleep Apnea and Weight Loss",mild-sleep-apnea-and-weight-loss,https://journeylite.com/mild-sleep-apnea-and-weight-loss/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2021-10-06T14:03:13+00:00
"Potassium",potassium,https://journeylite.com/potassium/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2021-07-28T15:11:37+00:00
"Calcium",calcium,https://journeylite.com/calcium/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2021-07-28T15:08:04+00:00
"GERD After Weight Loss Surgery",gerd-after-weight-loss-surgery,https://journeylite.com/gerd-after-weight-loss-surgery/,"Meta description missing — excerpt used as suggestion; Contains medical/medication content — medical review recommended; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2021-08-12T13:39:22+00:00
"Vitamin B6 (Pyridoxine)",vitamin-b6-pyridoxine,https://journeylite.com/vitamin-b6-pyridoxine/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2021-07-28T14:07:23+00:00
"Iron",iron,https://journeylite.com/iron/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2021-07-28T14:14:05+00:00
"Vitamin B9 (Folic Acid)",vitamin-b9-folic-acid,https://journeylite.com/vitamin-b9-folic-acid/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2021-07-28T14:10:52+00:00
"Vitamin B3 (Niacin)",vitamin-b3-niacin,https://journeylite.com/vitamin-b3-niacin/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2021-07-28T13:52:54+00:00
"Vitamin K",vitamin-k,https://journeylite.com/vitamin-k/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2021-07-28T13:50:12+00:00
"Vitamin E",vitamin-e,https://journeylite.com/vitamin-e/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2021-07-28T13:47:45+00:00
"Vitamin D",vitamin-d,https://journeylite.com/vitamin-d/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2021-07-28T13:44:27+00:00
"Vitamin B12",vitamin-b12,https://journeylite.com/vitamin-b12/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2021-07-28T13:36:41+00:00
"Food Sources",vitamin-a,https://journeylite.com/vitamin-a/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2021-07-28T13:18:40+00:00
"Gastric Bypass and Smoking",gastric-bypass-and-smoking,https://journeylite.com/gastric-bypass-and-smoking/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2021-05-26T14:48:26+00:00
"Support Group",support,https://journeylite.com/support/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2021-03-31T14:45:22+00:00
"Dr. James Augusta Joins JourneyLite!",dr-james-augusta,https://journeylite.com/dr-james-augusta/,"Warning: No tags; Warning: Featured image has no alt text","DrCurry",2021-03-17T16:00:57+00:00
"Christ Hospital-Recommended Hotel",christ-hospital-recommended-hotel,https://journeylite.com/christ-hospital-recommended-hotel/,"Meta description missing — excerpt used as suggestion; Body is short (69 words) — review content; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2021-02-09T17:24:41+00:00
"PCP Bariatric Surgery Insurance Clearance",pcp-bariatric-surgery-insurance-clearance,https://journeylite.com/pcp-bariatric-surgery-insurance-clearance/,"Meta description missing — excerpt used as suggestion; Contains medical/medication content — medical review recommended; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2021-02-25T15:01:15+00:00
"Why Weight Loss Surgery Can Be A Problem After Nissen Fundoplication",why-weight-loss-surgery-can-be-a-problem-after-nissen-fundoplication,https://journeylite.com/why-weight-loss-surgery-can-be-a-problem-after-nissen-fundoplication/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2021-03-03T16:15:46+00:00
"GoodRx and Emend/Aprepitant Savings",goodrx-emend,https://journeylite.com/goodrx-emend/,"Meta description missing — excerpt used as suggestion; Body is short (148 words) — review content; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2021-02-01T19:41:00+00:00
"Pre-operative Cardiac Clearance",pre-operative-cardiac-clearance,https://journeylite.com/pre-operative-cardiac-clearance/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2020-12-17T17:30:39+00:00
"Sleep Apnea/CPAP",sleep-apnea-cpap,https://journeylite.com/sleep-apnea-cpap/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2020-11-11T18:36:41+00:00
"Q3 Patient Satisfaction Surveys",q1-patient-satisfaction-surveys,https://journeylite.com/q1-patient-satisfaction-surveys/,"Meta description missing — excerpt used as suggestion; Body is short (20 words) — review content; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2020-09-16T19:42:48+00:00
"New Columbus Location 8/1/2020!",new-columbus-location,https://journeylite.com/new-columbus-location/,"Meta description missing — excerpt used as suggestion; Body is short (91 words) — review content; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2020-07-16T18:08:07+00:00
"Ft. Mitchell Drug Shoppe",drug-shoppe,https://journeylite.com/drug-shoppe/,"Meta description missing — excerpt used as suggestion; Body is short (56 words) — review content; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2020-06-23T16:22:04+00:00
"GoodRx and Adipex/Phentermine Savings",goodrx-and-adipex-phentermine-savings,https://journeylite.com/goodrx-and-adipex-phentermine-savings/,"Meta description missing — excerpt used as suggestion; Contains medical/medication content — medical review recommended; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2020-06-17T12:26:24+00:00
"Dayton Thru 6/30/2020: Tuesdays & Thursdays Virtual, Fridays Live!",dayton-tuesdays-thursdays-virtual-fridays-live,https://journeylite.com/dayton-tuesdays-thursdays-virtual-fridays-live/,"Body is short (61 words) — review content; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2020-06-10T18:14:17+00:00
"Do I have coverage for Saxenda?",do-i-have-coverage-for-saxenda,https://journeylite.com/do-i-have-coverage-for-saxenda/,"Meta description missing — excerpt used as suggestion; Body is short (140 words) — review content; Contains medical/medication content — medical review recommended; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2020-06-10T17:08:59+00:00
"Activity & Exercise After Weight Loss Surgery",activity-exercise-after-weight-loss-surgery,https://journeylite.com/activity-exercise-after-weight-loss-surgery/,"Warning: No tags; Warning: Featured image has no alt text","DrCurry",2020-06-03T15:00:53+00:00
"Immunospressants/Steroids After Weight Loss Surgery",immunospressants-steroids-after-weight-loss-surgery,https://journeylite.com/immunospressants-steroids-after-weight-loss-surgery/,"Contains medical/medication content — medical review recommended; Contains before/after references — check images for sensitive content; Warning: Featured image has no alt text","DrCurry",2020-06-02T16:08:28+00:00
"Qsymia Mail Order Program",qsymia-mail-order-program,https://journeylite.com/qsymia-mail-order-program/,"Meta description missing — excerpt used as suggestion; Contains medical/medication content — medical review recommended; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2020-05-12T11:28:22+00:00
"How do you start Adipex (phentermine)?",how-do-you-start-adipex-phentermine,https://journeylite.com/how-do-you-start-adipex-phentermine/,"Contains medical/medication content — medical review recommended; Warning: Featured image has no alt text","DrCurry",2020-05-11T20:19:00+00:00
"Band-To-Sleeve Conversion",band-to-sleeve-conversion,https://journeylite.com/band-to-sleeve-conversion/,"Body is short (145 words) — review content; Warning: Featured image has no alt text","DrCurry",2019-10-11T16:00:22+00:00
"Our patients rate us highly!",q4-2019-satisfaction-surveys,https://journeylite.com/q4-2019-satisfaction-surveys/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2020-01-13T18:17:47+00:00
"Great news from CareSource: coverage for diabetics with BMI 30-35",great-news-from-caresource-coverage-for-diabetics-with-bmi-30-35,https://journeylite.com/great-news-from-caresource-coverage-for-diabetics-with-bmi-30-35/,"Meta description missing — excerpt used as suggestion; Contains medical/medication content — medical review recommended; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2019-08-29T16:21:44+00:00
"An Optum Center of Excellence",journeylite-surgery-center-now-an-optum-center-of-excellence,https://journeylite.com/journeylite-surgery-center-now-an-optum-center-of-excellence/,"Contains medical/medication content — medical review recommended; Contains before/after references — check images for sensitive content; Warning: Featured image has no alt text","DrCurry",2019-08-20T10:06:55+00:00
"JourneyLite and Medtronic's New Signia Smart Stapler",journeylite-and-medtronics-new-signia-smart-stapler,https://journeylite.com/journeylite-and-medtronics-new-signia-smart-stapler/,"Meta description missing — excerpt used as suggestion; Body is short (81 words) — review content; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2019-08-08T14:30:00+00:00
"Saxenda: A New Injectable Weight Loss Drug",saxenda-a-new-injectable-weight-loss-medication,https://journeylite.com/saxenda-a-new-injectable-weight-loss-medication/,"Meta description missing — excerpt used as suggestion; Contains medical/medication content — medical review recommended; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2019-08-07T15:27:10+00:00
"My new addiction: 9Round kickboxing",my-new-addiction-9round-kickboxing,https://journeylite.com/my-new-addiction-9round-kickboxing/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2019-06-28T15:03:14+00:00
"For a limited time, gastric sleeve is only $10,000 ($5000 off regular price)!",1000-off,https://journeylite.com/1000-off/,"Warning: Featured image has no alt text","DrCurry",2019-05-08T13:56:14+00:00
"Save $1000 on self-pay gastric sleeve procedures!",1000-off-self-pay-gastric-sleeve,https://journeylite.com/1000-off-self-pay-gastric-sleeve/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2019-04-26T14:45:26+00:00
"New Medtronics Signia Smart Stapler!",new-medtronics-signia-smart-stapler,https://journeylite.com/new-medtronics-signia-smart-stapler/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2019-04-22T13:18:10+00:00
"Pre and Post Operative Diabetes Management",diabetes,https://journeylite.com/diabetes/,"Meta description missing — excerpt used as suggestion; Body is short (10 words) — review content; Contains medical/medication content — medical review recommended; Contains before/after references — check images for sensitive content; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2019-02-19T18:38:44+00:00
"Offer Expired!",winter-medical-weight-loss-specials,https://journeylite.com/winter-medical-weight-loss-specials/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2019-02-14T13:46:59+00:00
"Offer Expired!",obalon-6000,https://journeylite.com/obalon-6000/,"Warning: Featured image has no alt text","DrCurry",2018-12-22T15:23:44+00:00
"Offer Expired",free-november-sleeve-consult,https://journeylite.com/free-november-sleeve-consult/,"Meta description missing — excerpt used as suggestion; Contains medical/medication content — medical review recommended; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2018-11-01T16:58:01+00:00
"Obalon Swallowable Gastric Balloon-Better Together! Bring a friend and get up to $3000 off!",obalon-swallowable-gastric-balloon-better-together-bring-a-friend-and-get-up-to-3000-off,https://journeylite.com/obalon-swallowable-gastric-balloon-better-together-bring-a-friend-and-get-up-to-3000-off/,"Meta description missing — excerpt used as suggestion; Contains medical/medication content — medical review recommended; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2018-08-31T23:54:53+00:00
"Get up to $1500 the Obalon Swallowable Gastric Balloon!",get-up-to-1500-of-off-the-new-obalon-swallowable-gastric-balloon,https://journeylite.com/get-up-to-1500-of-off-the-new-obalon-swallowable-gastric-balloon/,"Contains medical/medication content — medical review recommended; Warning: Featured image has no alt text","DrCurry",2018-08-23T17:27:25+00:00
"Obalon Pre-Procedure Meds",obalon-pre-procedure-meds,https://journeylite.com/obalon-pre-procedure-meds/,"Warning: Featured image has no alt text","DrCurry",2018-05-16T16:24:00+00:00
"Support Group: Exercise",support-group-exercise,https://journeylite.com/support-group-exercise/,"Body is short (28 words) — review content; Warning: Featured image has no alt text","DrCurry",2018-04-25T22:35:00+00:00
"Get $500 off-up to $1000 in rebates!",free-obalon-gastric-balloon-consult,https://journeylite.com/free-obalon-gastric-balloon-consult/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2018-04-23T15:55:11+00:00
"Obalon ""Swallowable"" Gastric Balloon in Cincinnati, Ohio",obalon-swallowable-gastric-balloon-cincinnati-ohio,https://journeylite.com/obalon-swallowable-gastric-balloon-cincinnati-ohio/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2018-04-17T14:34:06+00:00
"Tonight's support group: Goal Setting",support-group-jan-2018,https://journeylite.com/support-group-jan-2018/,"Body is short (77 words) — review content; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2018-01-31T18:09:47+00:00
"Our First Virtual Support Group!",first-virtual-support-group,https://journeylite.com/first-virtual-support-group/,"Warning: No tags; Warning: Featured image has no alt text","DrCurry",2018-01-17T14:14:45+00:00
"What is Lovenox? Why do I need it and how do I do the injections?",lovenox,https://journeylite.com/lovenox/,"Meta description missing — excerpt used as suggestion; Contains medical/medication content — medical review recommended; Contains before/after references — check images for sensitive content; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2017-08-24T17:53:29+00:00
"Sleep Apnea Screening",sleep,https://journeylite.com/sleep/,"Publish date is missing; Category is missing — set to Uncategorized; Featured image missing; Body is short (13 words) — review content; VALIDATION ERROR: publishedAt: Too small: expected string to have >=1 characters; Warning: No featured image; Warning: No tags","DrCurry",
"Endoscopic Sleeve Gastroplasty, A New Tool In The Fight Against Obesity?",endoscopic-sleeve-gastroplasty-a-new-tool,https://journeylite.com/endoscopic-sleeve-gastroplasty-a-new-tool/,"Meta description missing — excerpt used as suggestion; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2017-08-19T22:14:49+00:00
"Type 2 Diabetes & Medicare?",type-2-diabetes-medicare,https://journeylite.com/type-2-diabetes-medicare/,"Contains medical/medication content — medical review recommended; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2017-07-07T17:46:59+00:00
"Endoscopic Sleeve Gastroplasty (ESG) - A New Incisionless Weight Loss Procedure",esg,https://journeylite.com/esg/,"Warning: Featured image has no alt text","DrCurry",2017-06-10T18:22:36+00:00
"Announcing Wednesday office hours in Northern Kentucky office!",announcing-wednesday-office-hours-northern-kentucky-office,https://journeylite.com/announcing-wednesday-office-hours-northern-kentucky-office/,"Body is short (82 words) — review content; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2017-02-07T13:45:53+00:00
